DEBUG: 3.143109 ; likelihood: -0.095607
DEBUG: 5.436151 ; likelihood: -0.264185
DEBUG: 1.775488 ; likelihood: -1.593078
DEBUG: 14.133683 ; likelihood: 2.074862
DEBUG: 25.701535 ; likelihood: 4.787747
DEBUG: 7.981894 ; likelihood: 5.907678
DEBUG: 9.561117 ; likelihood: 8.473965
DEBUG: 3.322793 ; likelihood: 11.011113
DEBUG: 9.753256 ; likelihood: 12.195566
DEBUG: 6.905908 ; likelihood: 15.679178
DEBUG: 13.799860 ; likelihood: 15.848302
DEBUG: 5.041524 ; likelihood: 16.879369
DEBUG: 2.034830 ; likelihood: 15.970651
DEBUG: 2.182115 ; likelihood: 17.255144
DEBUG: 1.014570 ; likelihood: 18.049469
DEBUG: 3.491991 ; likelihood: 19.112957
DEBUG: 0.891568 ; likelihood: 15.738390
DEBUG: 7.372776 ; likelihood: 17.046502
DEBUG: 1.162049 ; likelihood: 17.144705
DEBUG: 2.418349 ; likelihood: 16.297824
DEBUG: 0.349984 ; likelihood: 12.592439
DEBUG: 3.935266 ; likelihood: 14.616078
DEBUG: 10.005935 ; likelihood: 17.783418
DEBUG: 10.676431 ; likelihood: 20.104997
DEBUG: 1.274954 ; likelihood: 20.025795
DEBUG: 5.585226 ; likelihood: 19.402189
DEBUG: 5.459211 ; likelihood: 19.449890
DEBUG: 4.376703 ; likelihood: 21.699798
DEBUG: 2.624059 ; likelihood: 23.214289
DEBUG: 7.110458 ; likelihood: 24.838576
DEBUG: 7.427490 ; likelihood: 24.921418
DEBUG: 0.460190 ; likelihood: 24.780379
DEBUG: 1.144108 ; likelihood: 25.334488
DEBUG: 1.669123 ; likelihood: 25.004442
DEBUG: 3.008202 ; likelihood: 25.949832
DEBUG: 4.306080 ; likelihood: 26.899249
DEBUG: 6.171991 ; likelihood: 30.342268
DEBUG: 2.181481 ; likelihood: 30.621169
DEBUG: 13.834490 ; likelihood: 31.329699
DEBUG: 0.431396 ; likelihood: 28.151830
DEBUG: 6.328550 ; likelihood: 30.115175
DEBUG: 1.216030 ; likelihood: 29.063746
DEBUG: 11.386208 ; likelihood: 31.686515
DEBUG: 0.871535 ; likelihood: 30.075743
DEBUG: 4.462061 ; likelihood: 32.143049
DEBUG: 7.525026 ; likelihood: 32.845250
DEBUG: 20.263137 ; likelihood: 36.295729
DEBUG: 0.524309 ; likelihood: 33.756021
DEBUG: 5.065478 ; likelihood: 34.451263
DEBUG: 4.032432 ; likelihood: 37.055077
DEBUG: 13.908910 ; likelihood: 33.496720
DEBUG: 3.226814 ; likelihood: 34.428035
DEBUG: 32.741260 ; likelihood: 38.161556
DEBUG: 41.140317 ; likelihood: 42.696501
DEBUG: 11.693325 ; likelihood: 42.508125
DEBUG: 26.689322 ; likelihood: 45.454114
DEBUG: 8.166590 ; likelihood: 45.886381
DEBUG: 8.545241 ; likelihood: 47.928597
DEBUG: 12.401707 ; likelihood: 51.258583
DEBUG: 9.620053 ; likelihood: 52.846063
DEBUG: 7.734509 ; likelihood: 54.565488
DEBUG: 6.022785 ; likelihood: 56.521052
DEBUG: 2.163225 ; likelihood: 57.527174
DEBUG: 10.637608 ; likelihood: 60.617264
DEBUG: 0.271809 ; likelihood: 58.362020
